"Plan","SliceIndex","ScanCount","FirstGlobalIndex","AreaY"
"new_full","47","80","3205","28761.3702475127"
"new_full","48","80","3285","32404.8162161406"
"new_full","49","75","3365","36048.2602774199"
"new_full","50","75","3440","39691.7043386992"
"new_full","51","75","3515","43335.1483999785"
"new_full","52","75","3590","46978.5886465605"
"new_full","53","75","3665","50622.0327078398"
"new_full","54","75","3740","54265.4767691191"
"new_full","55","75","3815","57908.9208303984"
"new_full","56","75","3890","61552.3648916777"
"new_full","57","75","3965","65195.808952957"
"new_full","58","75","4040","68839.2568289336"
"new_full","59","75","4115","72482.6970755156"
"new_full","60","65","4190","76126.1449514922"
"new_full","61","65","4255","79769.5851980742"
"new_full","62","65","4320","83413.0330740508"
"new_full","63","65","4385","87056.4733206328"
"new_full","64","65","4450","90699.9211966094"
"new_full","65","55","4515","94343.3614431914"
"new_full","66","55","4570","97986.809319168"
"new_full","67","55","4625","101630.24956575"
"new_full","68","55","4680","105273.689812332"
"new_full","69","55","4735","108917.137688309"
"new_full","70","45","4790","112560.577934891"
"new_full","71","45","4835","116204.025810867"
"new_full","72","45","4880","119847.466057449"
"new_full","73","35","4925","123490.913933426"
"new_full","74","35","4960","127134.354180008"
"new_full","75","35","4995","130777.802055984"
"new_full","76","15","5030","134421.249931961"
"new_full","77","15","5045","138064.682549148"
"new_clone","0","35","0","-132680.434638352"
"new_clone","1","35","35","-129056.197577805"
"new_clone","2","45","70","-125431.960517258"
"new_clone","3","45","115","-121807.723456711"
"new_clone","4","45","160","-118183.486396164"
"new_clone","5","55","205","-114559.249335617"
"new_clone","6","55","260","-110935.01227507"
"new_clone","7","55","315","-107310.775214523"
"new_clone","8","55","370","-103686.538153977"
"new_clone","9","55","425","-100062.30109343"
"new_clone","10","65","480","-96438.0640328828"
"new_clone","11","65","545","-92813.8269723359"
"new_clone","12","65","610","-89189.5899117891"
"new_clone","13","65","675","-85565.3528512422"
"new_clone","14","65","740","-81941.1157906953"
"new_clone","15","65","805","-78316.8787301484"
"new_clone","16","75","870","-74692.6416696016"
"new_clone","17","75","945","-71068.4046090547"
"new_clone","18","75","1020","-67444.1675485078"
"new_clone","19","75","1095","-63819.9304879609"
"new_clone","20","75","1170","-60195.6934274141"
"new_clone","21","75","1245","-56571.4563668672"
"new_clone","22","75","1320","-52947.2193063203"
"new_clone","23","75","1395","-49322.9822457734"
"new_clone","24","75","1470","-45698.7451852266"
"new_clone","25","75","1545","-42074.511939377"
"new_clone","26","75","1620","-38450.2748788301"
"new_clone","27","80","1695","-34826.0378182832"
"new_clone","28","80","1775","-31201.7988503877"
"new_clone","29","85","1855","-27577.5617898408"
"new_clone","30","85","1940","-23953.3247292939"
"new_clone","31","85","2025","-20329.0876687471"
"new_clone","32","85","2110","-16704.8506082002"
"new_clone","33","85","2195","-13080.6135476533"
"new_clone","34","85","2280","-9456.37648710644"
"new_clone","35","85","2365","-5832.13942655957"
"new_clone","36","85","2450","-2207.90257462895"
"new_clone","37","85","2535","1416.3344561156"
"new_clone","38","85","2620","5040.57175508105"
"new_clone","39","85","2705","8664.80881562793"
"new_clone","40","85","2790","12289.0458761748"
"new_clone","41","85","2875","15913.2829367217"
"new_clone","42","85","2960","19537.5199972686"
"new_clone","43","85","3045","23161.7570578154"
"new_clone","44","80","3130","26785.9941183623"
"new_clone","45","80","3210","30410.2292715605"
"new_clone","46","75","3290","34034.4663321074"
"new_clone","47","75","3365","37658.7033926543"
"new_clone","48","75","3440","41282.9404532012"
"new_clone","49","75","3515","44907.177513748"
"new_clone","50","75","3590","48531.4145742949"
"new_clone","51","75","3665","52155.6516348418"
"new_clone","52","75","3740","55779.8886953887"
"new_clone","53","75","3815","59404.1257559355"
"new_clone","54","75","3890","63028.3666311797"
"new_clone","55","75","3965","66652.6036917266"
"new_clone","56","75","4040","70276.8407522734"
"new_clone","57","65","4115","73901.0778128203"
"new_clone","58","65","4180","77525.3148733672"
"new_clone","59","65","4245","81149.5519339141"
"new_clone","60","65","4310","84773.7889944609"
"new_clone","61","65","4375","88398.0260550078"
"new_clone","62","65","4440","92022.2631155547"
"new_clone","63","55","4505","95646.5001761016"
"new_clone","64","55","4560","99270.7372366484"
"new_clone","65","55","4615","102894.974297195"
"new_clone","66","55","4670","106519.211357742"
"new_clone","67","55","4725","110143.448418289"
"new_clone","68","45","4780","113767.685478836"
